svchost.exe	3532	TCP	desktop-fcuahj5.ksd.edu	50147	ad-it-18wyh12.ksd.edu	ms-do	ESTABLISHED										
svchost.exe	6036	UDP	DESKTOP-FCUAHJ5	ws-discovery	*	*				9	5,616						
svchost.exe	6036	UDP	DESKTOP-FCUAHJ5	63906	*	*		8	4,992								
svchost.exe	6036	UDPV6	desktop-fcuahj5	3702	*	*											
svchost.exe	6036	UDPV6	desktop-fcuahj5	63907	*	*		8	4,992	10	12,398						
svchost.exe	6036	UDP	DESKTOP-FCUAHJ5	ws-discovery	*	*											
svchost.exe	6036	UDPV6	desktop-fcuahj5	3702	*	*											
svchost.exe	3532	TCP	desktop-fcuahj5.ksd.edu	ms-do	wg-aprin-nnv9911.ksd.edu	55727	ESTABLISHED	2	85	1	81						
svchost.exe	3880	TCP	desktop-fcuahj5.ksd.edu	50163	sea15s08-in-f16.1e100.net	http	ESTABLISHED	1	345	1	830						
svchost.exe	3532	TCP	desktop-fcuahj5.ksd.edu	ms-do	wg-aprin-nnv9911.ksd.edu	55727	ESTABLISHED										
svchost.exe	3532	TCP	desktop-fcuahj5.ksd.edu	50164	52.169.83.3	https	ESTABLISHED										
System	4	TCP	desktop-fcuahj5.ksd.edu	netbios-ssn	DESKTOP-FCUAHJ5	0	LISTENING										
System	4	TCP	desktop-fcuahj5.ksd.edu	49769	uomo143.ksd.edu	microsoft-ds	ESTABLISHED	7	1,046	8	1,852						
System	4	TCP	desktop-fcuahj5.ksd.edu	49771	uomo143.ksd.edu	microsoft-ds	ESTABLISHED	4	742	7	3,422						
System	4	TCP	desktop-fcuahj5.ksd.edu	49772	uomo143.ksd.edu	microsoft-ds	ESTABLISHED	4	636	4	738						
System	4	TCP	desktop-fcuahj5.ksd.edu	49773	uomo143.ksd.edu	microsoft-ds	ESTABLISHED	6	892	7	992						
System	4	TCP	DESKTOP-FCUAHJ5	microsoft-ds	DESKTOP-FCUAHJ5	0	LISTENING										
System	4	UDP	desktop-fcuahj5.ksd.edu	netbios-ns	*	*		58	2,900	291	14,880						
System	4	UDP	desktop-fcuahj5.ksd.edu	netbios-dgm	*	*		8	1,491	7	1,308						
System	4	TCPV6	desktop-fcuahj5	microsoft-ds	desktop-fcuahj5	0	LISTENING										
wininit.exe	492	TCP	DESKTOP-FCUAHJ5	49664	DESKTOP-FCUAHJ5	0	LISTENING										
wininit.exe	492	TCPV6	desktop-fcuahj5	49664	desktop-fcuahj5	0	LISTENING										
